,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,nandurbar,-2.5744,150.7967,82.18,78,4,11.16,PG,1627145389
210,nandurbar,66.0317,60.1659,48.74,96,100,12.68,RU,1627145527
211,nandurbar,26.3544,127.8686,80.19,92,75,18.41,JP,1627145453
212,nandurbar,72.7868,-56.1549,39.11,90,99,6.85,GL,1627145426
213,nandurbar,68.5333,146.4167,47.21,67,52,13.51,RU,1627145398
214,nandurbar,21.4022,-157.7394,78.78,83,90,6.91,US,1627145528
215,nandurbar,65.5833,-171.0,46.9,91,100,10.38,RU,1627145393
216,nandurbar,8.0086,-62.3989,85.19,77,64,5.86,VE,1627145529
217,nandurbar,45.8986,16.8489,83.89,44,9,6.42,HR,1627145529
218,nandurbar,41.5388,-8.6151,76.28,66,25,10.98,PT,1627145529
219,nandurbar,43.6475,111.9767,67.32,77,100,15.1,CN,1627145530
220,nandurbar,-0.6,73.0833,82.72,77,55,12.3,MV,1627145140
221,nandurbar,42.3256,-83.331,85.8,75,75,12.66,US,1627145451
222,nandurbar,36.6167,101.7667,67.21,83,94,2.33,CN,1627145480
223,nandurbar,-3.2778,-39.2689,87.01,47,55,15.35,BR,1627145526
224,nandurbar,58.9034,17.9479,79.09,66,99,10.6,SE,1627145531
225,nandurbar,40.973,-117.7357,84.11,15,1,10.36,US,1627145531
226,nandurbar,8.7936,126.2969,79.05,86,100,9.78,PH,1627145532
227,nandurbar,42.63,131.0922,73.24,95,40,5.21,RU,1627145532
228,nandurbar,69.3833,178.4167,37.33,93,98,4.18,RU,1627145457
229,nandurbar,51.5407,-2.4184,72.59,83,96,1.01,GB,1627145532
230,nandurbar,39.7228,64.5517,98.24,22,0,11.5,UZ,1627145533
231,nandurbar,5.4112,100.3354,85.89,83,20,0.0,MY,1627145384
232,nandurbar,39.5108,54.3671,87.58,57,0,8.81,TM,1627145534
233,nandurbar,-4.5617,-37.7697,91.8,34,22,9.64,BR,1627145534
234,nandurbar,60.3964,-1.353,55.31,79,98,6.78,GB,1627145534
235,nandurbar,2.8197,-60.6733,87.78,58,75,9.22,BR,1627145505
236,nandurbar,12.7794,45.0367,79.63,83,91,13.24,YE,1627145468
237,nandurbar,31.2656,56.8055,93.2,10,0,9.95,IR,1627145535
238,nandurbar,-6.8886,109.6753,80.01,81,5,4.16,ID,1627145359
239,nandurbar,38.8876,-76.5119,87.3,54,20,4.0,US,1627145536
240,nandurbar,65.8167,87.9833,68.49,66,16,10.16,RU,1627145385
241,nandurbar,39.9376,-77.6611,84.76,62,5,7.14,US,1627145536
242,nandurbar,-24.8667,113.6333,62.67,70,75,3.44,AU,1627145387
243,nandurbar,46.0646,-118.343,84.45,37,0,5.21,US,1627145537
244,nandurbar,-8.6199,122.2111,75.24,71,19,6.15,ID,1627145537
245,nandurbar,52.2667,79.1667,73.2,56,37,3.4,RU,1627145537
246,nandurbar,-31.5375,-68.5364,56.91,34,59,3.51,AR,1627145538
247,nandurbar,26.5667,76.3333,86.67,62,69,5.53,IN,1627145538
248,nandurbar,35.3029,37.1841,86.67,40,2,14.7,SY,1627145539
249,nandurbar,63.3167,30.0167,61.36,59,100,1.48,FI,1627145539
250,nandurbar,-13.8483,136.4192,73.27,100,40,5.75,AU,1627145539
251,nandurbar,39.5501,-77.0164,84.9,58,15,5.01,US,1627145540
252,nandurbar,4.1363,96.1285,77.97,87,98,3.56,ID,1627145493
253,nandurbar,14.7328,-6.1219,96.39,36,99,4.07,ML,1627145541
254,nandurbar,51.064,-0.3272,75.81,67,40,6.91,GB,1627145469
255,nandurbar,8.9333,8.6,74.1,92,97,3.36,NG,1627145541
256,nandurbar,44.1501,-79.8663,73.54,71,75,6.91,CA,1627145437
257,nandurbar,63.8424,-22.4338,53.55,100,75,18.41,IS,1627145237
258,nandurbar,78.2186,15.6401,46.24,76,75,6.91,SJ,1627145308
259,nandurbar,-38.65,-72.2333,47.14,67,3,9.04,CL,1627145542
260,nandurbar,53.1873,158.3805,55.54,100,20,4.47,RU,1627145542
261,nandurbar,38.6908,35.5538,75.87,41,40,13.8,TR,1627145543
262,nandurbar,-19.0595,-169.9187,73.29,100,71,4.61,NU,1627145212
263,nandurbar,-23.865,35.3833,60.78,87,75,11.99,MZ,1627145440
264,nandurbar,50.9333,6.95,72.82,91,40,3.44,DE,1627145286
265,nandurbar,39.2446,55.5154,93.38,41,0,15.82,TM,1627145544
266,nandurbar,29.5833,-9.5,92.03,26,87,8.05,MA,1627145412
267,nandurbar,17.3333,42.6667,86.94,68,99,7.94,SA,1627145544
268,nandurbar,-0.8833,131.25,76.93,87,100,15.9,ID,1627145545
269,nandurbar,33.7333,135.9833,76.91,90,44,4.52,JP,1627145545
270,nandurbar,-20.3167,118.5667,62.65,63,7,6.91,AU,1627145245
271,nandurbar,-19.55,169.2667,74.93,86,7,2.71,VU,1627145546
272,nandurbar,8.9603,117.5828,81.1,82,100,9.62,PH,1627145546
273,nandurbar,53.33,6.9181,77.02,69,95,3.0,NL,1627145547
274,nandurbar,-24.85,152.35,56.21,71,0,1.99,AU,1627145547
275,nandurbar,33.2292,119.3092,76.89,91,100,10.09,CN,1627145547
276,nandurbar,63.4427,-20.2734,52.79,87,75,14.97,IS,1627145390
277,nandurbar,13.6408,16.4901,88.39,49,97,11.01,TD,1627145548
278,nandurbar,68.6949,15.4162,55.09,99,100,5.35,NO,1627145548
279,nandurbar,-41.8697,-73.8203,46.22,70,100,4.94,CL,1627145449
280,nandurbar,-1.8283,-44.8683,87.98,49,43,6.29,BR,1627145427
281,nandurbar,69.7008,170.3133,37.18,93,94,5.68,RU,1627145374
282,nandurbar,36.0986,120.3719,80.2,65,0,4.47,CN,1627145549
283,nandurbar,-3.2208,-64.8042,87.67,48,32,2.93,BR,1627145550
284,nandurbar,2.6708,72.8944,82.33,77,75,6.53,MV,1627145550
285,nandurbar,17.1561,-89.0714,80.74,83,40,4.61,BZ,1627145550
286,nandurbar,24.0934,32.907,103.3,15,0,12.66,EG,1627145460
287,nandurbar,69.4154,30.8136,52.88,87,100,21.59,RU,1627145551
288,nandurbar,49.5776,111.9753,54.5,78,17,5.14,RU,1627145551
289,nandurbar,58.3814,97.4531,65.28,66,42,4.09,RU,1627145552
290,nandurbar,-6.2167,155.6333,79.12,84,89,2.3,PG,1627145469
291,nandurbar,-33.6971,-53.4616,64.9,73,53,5.53,UY,1627145196
